name,address,city,state,zip,total_units, Price/Unit ,net_operating_income,cap_rate,asking_price,opportunity_zone,longitude,latitude
Mountain Gates Estates,8958 6 Shooter Canyon Rd,Globe,AZ,85501,110,"$34,545 ",,,"$3,800,000.00 ",No,-110.7680557,33.3567519
Confidential Oklahoma Mobile Home Community,"Confidential, Oklahoma, USA",N/A,OK,12345,300,,,,,No,NA,NA
Rancho Rantoul Estates,8 Mahoning Ave,Rantoul,IL,61866,,,,,"$2,050,000.00 ",No,-88.1349449,40.3201952
BACKYARD RV RESORT,4350 Sassafras Cir,Montgomery,AL,36105,105,"$24,761 ","$202,033.00 ",7.70%,"$2,600,000.00 ",No,-86.3307242,32.3242172
Sumter Oaks RV Park,4602 Co Rd 673,Bushnell,FL,33513,,,,,"$3,800,000.00 ",No,-82.181186,28.602568
Tra RV Park,3100 Moore St,Pecos,TX,79772,,,,,"$2,300,000.00 ",No,-103.5104356,31.3913037
Okmulgee Mobile Home Park,814 S Kern Ave,Okmulgee,OK,74447,28,"$63,462 ","$56,164.00 ",3.40%,"$1,650,000.00 ",No,-95.98421873,35.61553431
Flux River Resort,7420 Rush Creek Rd,Lewiston,CA,96052,52,"$26,442 ","$105,225.00 ",7.65%,"$1,375,000.00 ",Yes,-122.8257998,40.719795
Eagle's Rest RV Park  Cabins,139 E Pioneer Dr,Valdez,AK,99686,,,,,"$5,900,000.00 ",No,-146.346695,61.131027
"Green Meadows MHP - Newport, TN",116 Country View Way,Newport,TN,37821,35,,"$105,927.00 ",7.06%,"$1,500,000.00 ",No,-83.2082525,35.9068352
170-Space Kansas MHC - Market Leader Property,520 W 20th St,Pittsburg,KS,66762,170,,,,,No,-94.7112841,37.4276527
"Attractive 109-Space MHC Near Columbia, MO",1338 W Ashley Rd,Boonville,MO,65233,109,,,,,No,-92.761832,38.9520477
AUCTION SALE  Parktown Mobile Home Park,1A Parktown Dr,Granite City,IL,62040,81,,"$136,000.00 ",,,Yes,-90.1662047,38.7098196
Choctaw Creek Ranch MH Community,701 Luella Rd,Sherman,TX,75090,,,,,,No,-96.586086,33.582023
"Sylvania, GA and Gaston SC MHP Portfolio",0 Countryside Estates,Sylvania,GA,30467,40,,,7.00%,"$1,500,000.00 ",No,-81.6145645,32.72997861
Stanford Ranch Lakeside RV Resort,139 Pr 1537 Road,Bridgeport,TX,76246,47,"$105,468 ",,,"$4,957,000.00 ",No,-97.845644,33.258474
43 INCOME PRODUCING UNITS - NO LAND,11240 N Northwood Dr,Inglis,FL,34449,43,"$10,000 ","$49,015.00 ",12.25%,"$400,000.00 ",No,-82.67852646,29.02365818
Indian Trails RV Mobile Park  Mustang Mini Storage,1618 TX-361,Ingleside,TX,78362,86,,"$86,709.00 ",,"$1,157,751.00 ",No,-97.1840471,27.8731312
South Park MHC,1601 Army Post Rd,Des Moines,IA,50315,25,"$74,000 ","$144,700.00 ",7.82%,"$1,850,000.00 ",No,-93.63806905,41.52659373
Oak Grove MH  RV Park,1801 Border St,Pensacola,FL,32505,,"$56,705 ",,,"$4,990,000.00 ",No,-87.26366389,30.43280102
Fidler's MHP,1 Fidler Ct,Pine Grove,PA,17963,15,,,7.40%,"$715,000.00 ",No,-76.4340755,40.5523346
"7 Park Portfolio - Pittsburgh, PA",1037 Barkeyville Rd,Grove City,PA,16127,526,,"$951,485.00 ",,,No,NA,NA
Dade City - 82.4-Acres with plans for 300-sp MHRV Park,4112 Treiman Blvd,Dade City,FL,33523,,"$7,667 ",,,"$2,300,000.00 ",No,-82.164144,28.486708
"Millcreek Mobile Home  RV Park - Camden, AR",101 Ouachita Road 471,Camden,AR,71701,,,"$131,730.00 ",10.13%,"$1,300,000.00 ",No,-92.8136086,33.5348378
